Token 1, keyword int, line number 2
Token 150, id fact, line number 2
Token 102, delimiter (, line number 2
Token 1, keyword int, line number 2
Token 150, id n, line number 2
Token 103, delimiter ), line number 2
Token 100, delimiter {, line number 2
Token 7, keyword if, line number 3
Token 102, delimiter (, line number 3
Token 150, id n, line number 3
Token 63, operator <=, line number 3
Token 151, integer 1, line number 3
Token 103, delimiter ), line number 3
Token 13, keyword return, line number 4
Token 151, integer 1, line number 4
Token 106, delimiter ;, line number 4
Token 9, keyword else, line number 5
Token 13, keyword return, line number 6
Token 150, id n, line number 6
Token 52, operator *, line number 6
Token 150, id fact, line number 6
Token 102, delimiter (, line number 6
Token 150, id n, line number 6
Token 51, operator -, line number 6
Token 151, integer 1, line number 6
Token 103, delimiter ), line number 6
Token 106, delimiter ;, line number 6
Token 101, delimiter }, line number 7
Token 150, id void, line number 8
Token 150, id main, line number 8
Token 102, delimiter (, line number 8
Token 150, id void, line number 8
Token 103, delimiter ), line number 8
Token 100, delimiter {, line number 8
Token 1, keyword int, line number 9
Token 150, id x, line number 9
Token 106, delimiter ;, line number 9
Token 150, id x, line number 10
Token 67, operator =, line number 10
Token 151, integer 1, line number 10
Token 106, delimiter ;, line number 10
Token 10, keyword while, line number 11
Token 102, delimiter (, line number 11
Token 150, id x, line number 11
Token 63, operator <=, line number 11
Token 151, integer 10, line number 11
Token 103, delimiter ), line number 11
Token 100, delimiter {, line number 11
Token 150, id write, line number 12
Token 102, delimiter (, line number 12
Token 150, id x, line number 12
Token 103, delimiter ), line number 12
Token 106, delimiter ;, line number 12
Token 150, id write, line number 13
Token 102, delimiter (, line number 13
Token 150, id fact, line number 13
Token 102, delimiter (, line number 13
Token 150, id x, line number 13
Token 103, delimiter ), line number 13
Token 103, delimiter ), line number 13
Token 106, delimiter ;, line number 13
Token 150, id writeln, line number 14
Token 102, delimiter (, line number 14
Token 103, delimiter ), line number 14
Token 106, delimiter ;, line number 14
Token 150, id x, line number 15
Token 67, operator =, line number 15
Token 150, id x, line number 15
Token 50, operator +, line number 15
Token 151, integer 1, line number 15
Token 106, delimiter ;, line number 15
Token 101, delimiter }, line number 16
Token 101, delimiter }, line number 17
